"","clase","subsector","sector","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","nomsector","nomsubsector","nomclase"
"30295",713943,713,71,285661,"ACADEMIA DE BAILE SIN NOMBRE","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","AVENIDA","CLAVELES","AVENIDA","CIPRESES","AVENIDA","SABINOS","CALLE","CESÁREO CASTRO",0,"SN","","","","","COLONIA","LUCIO BLANCO","","","",27230,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1666",7,"","","","Fijo",25.52730382,-103.4311994,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30296",713943,713,71,6428808,"AEROBICS","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","CALLE","MÉXICO","CALLE","NICARAGUA","CALLE","PANAMÁ","","",0,"SN","","","","","FRACCIONAMIENTO","LATINOAMERICANO","","","",27275,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","2908",13,"8717336460","","","Fijo",25.52547,-103.3474301,"jul-10","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30297",713943,713,71,1099275,"CANCHAS DE FUTBOL URUGUAYO MIAMI SOCCER","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","BOULEVARD","JOSÉ REBOLLO ACOSTA","CALLE","JOSÉ REBOLLO ACOSTA","CALLE","PASEO","CALLE","CASCADA",0,"SN","","","","","COLONIA","SAN ISIDRO","","","",35044,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","1889",26,"","","","Fijo",25.57057789,-103.4753758,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30298",713943,713,71,306906,"AGOT ACADEMIA DE GIMNASIO OLIMPICA TORREON","",713943,"Centros de acondicionamiento físico del sector privado","6 a 10 personas","CALLE","JUAN PABLOS (16)","CALLE","URRUTIA","AVENIDA","ESCOBEDO","CALLE","JOSÉ MARÍA DEL BOSQUE (18)",330,"","","","","","COLONIA","CENTRO","","","",27000,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","282",12,"8717938699","","","Fijo",25.54422083,-103.4310027,"jul-10","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30299",713943,713,71,279989,"SPARTACVS","SPARTACVS",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","CALLE","RÍO NAZAS","CALLE","RÍO FLORIDO","CALLE","RÍO SUCHIATE","CALLE","RÍO FUERTE",720,"","","","","","COLONIA","MAGDALENAS","","","720",27010,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","66",18,"","","","Fijo",25.56271729,-103.4197573,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30300",713943,713,71,284303,"POLE DANCE XTREME GYM","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","BOULEVARD","CONSTITUCIÓN","CALLE","LAS NOAS","CALLE","AGUSTÍN ZARZOZA","BOULEVARD","CONSTITUCIÓN",0,"SN","","","","","COLONIA","FOVISSSTE NUEVA LOS ÁNGELES","","","",27140,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1242",33,"","","","Fijo",25.56138888,-103.4456632,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30301",713943,713,71,1064689,"ACADEMIA DE BAILE LUMA","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","BOULEVARD","MIGUEL ALEMÁN","CALLE","PRAGA","CALLE","VERSALLES","CALLE","MADRID",569,"","","","","","COLONIA","EL CAMPESTRE","","","",35080,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","166",10,"","","","Fijo",25.55400354,-103.4974412,"jul-10","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30302",713943,713,71,1099813,"ACADEMIA DE GIMNASIA FISICA AGA","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","BOULEVARD","MIGUEL ALEMÁN","CALLE","MONTECARLO","AVENIDA","SOUTH DEL MONTE","CALLE","MADRID",715,"","","","","","COLONIA","VALLE DEL CAMPESTRE","","","",35080,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","166",30,"","","","Fijo",25.55454395,-103.5001381,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30303",713943,713,71,1100156,"ACADEMIA DE GIMNASIA OLIMPICA","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","CALLE","SINALOA","CALLE","DURANGO","CALLE","NINGUNO","CALLE","NINGUNO",1751,"B","","","","","COLONIA","LAS ROSAS","","","",35090,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","170",42,"8717226854","","","Fijo",25.55500314,-103.4880323,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30304",713943,713,71,1104278,"AEROBICS ALE","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","CALLE","20","AVENIDA","INGENIEROS","AVENIDA","FILADELFIA","AVENIDA","FILADELFIA",0,"SN","","","","","COLONIA","FILADELFIA","","","",35010,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","1357",10,"8711711313","","","Fijo",25.58565592,-103.4940915,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30305",713943,713,71,1103536,"PLANET GOL","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","BOULEVARD","EJÉRCITO MEXICANO","CALLE","NINGUNO","CALZADA","SANTA VIOLETA","CALLE","LAURA",0,"SN","","","","","FRACCIONAMIENTO","AMPLIACIÓN SAN ANTONIO","","","",35015,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","363",10,"","","","Fijo",25.59650028,-103.4900131,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30306",713943,713,71,1099223,"AIRON GYM","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","BOULEVARD","JOSÉ REBOLLO ACOSTA","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO",242,"","","","","","FRACCIONAMIENTO","SANTA ROSA","","","",35079,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","1893",17,"","","","Fijo",25.56525336,-103.4772544,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30307",713943,713,71,6372537,"SUPER FITNESS DAMAS","GIMNASIO PARA MUJERES TORREON S DE RL DE CV",713943,"Centros de acondicionamiento físico del sector privado","11 a 30 personas","","SAN JOSÉ","","DEL ARCÁNGEL","CALLE","DEL ARCÁNGEL","CALLE","SAN JOEL",1,"","","","","","COLONIA","LA FUENTE","CENTROS Y PLAZAS COMERCIALES","TIENDA SORIANA","1",27290,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","2096",1,"","","","Fijo",25.51544164,-103.4149623,"jul-10","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30308",713943,713,71,280423,"MIAMI SOCCER","MIAMI SOCCER",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","CALLE","AZTECAS","BOULEVARD","DIAGONAL REFORMA","CALLE","NEZAHUALCÓYOTL","CALZADA","JUAN FRANCISCO HEALY ORTIZ",0,"SN","","","","","FRACCIONAMIENTO","MOCTEZUMA","","","",27040,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1308",39,"","","","Fijo",25.54862415,-103.4210609,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30309",713943,713,71,294013,"MIAMI SOCCER","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","CALLE","CALZADA DE LOS AGROPECUARIOS","CALLE","DE LOS BIÓLOGOS","CALLE","DE LOS CONTADORES","CALLE","DE LOS BIOLOGOS",0,"SN","","","","","FRACCIONAMIENTO","M MERCADO DE LOPEZ SANCHEZ","","","",27294,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","3516",53,"8717000000","","","Fijo",25.49973388,-103.3735202,"jul-10","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
"30310",713943,713,71,275373,"TALLA 7","",713943,"Centros de acondicionamiento físico del sector privado","0 a 5 personas","CALLE","CAMPO DE LAS VIOLETAS","CALLE","CAMPO DE JULIAS","CALLE","CAMPO DE LILIS","CALLE","CAMPO DE JULIAS",0,"SN","","","","","FRACCIONAMIENTO","CAMPO NUEVO DE ZARAGOZA","","","",27275,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","386A",38,"","","","Fijo",25.51719143,-103.3526939,"dic-14","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativosT ","Centros de acondicionamiento físico del sector privado "
