"","clase","subsector","sector","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","nomsector","nomsubsector","nomclase"
"26282",611111,611,61,1061524,"JARDÍN DE NIÑOS COLORIN COLORADO","",611111,"Escuelas de educación preescolar del sector privado","0 a 5 personas","AVENIDA","MORELOS","CALLE","JOSEFA ORTIZ DE DOMÍNGUEZ","CALLE","GALEANA","AVENIDA","VICTORIA",1084,"","","","","","COLONIA","CENTRO","","","",35000,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","715",24,"8712276781","","","Fijo",25.57432573,-103.5025944,"jul-10","Servicios educativos","Servicios educativosT ","Escuelas de educación preescolar del sector privado "
"26283",611111,611,61,285255,"ESCUELA ESCOFIS PREESCOLAR","ESCUELA ESCOFIS, S.C.",611111,"Escuelas de educación preescolar del sector privado","0 a 5 personas","CALLE","DONATO GUERRA","AVENIDA","HIDALGO","AVENIDA","JUÁREZ","CALLE","LEANDRO VALLE",390,"","","","","","COLONIA","CENTRO","","","",27000,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","1524",24,"8717160685","ESCOFIS@HOTMAIL.COM","","Fijo",25.53766866,-103.4444618,"dic-14","Servicios educativos","Servicios educativosT ","Escuelas de educación preescolar del sector privado "
"26284",611111,611,61,1063788,"JARDÍN DE NIÑOS COLORES","",611111,"Escuelas de educación preescolar del sector privado","0 a 5 personas","AVENIDA","HIDALGO","CALLE","IGNACIO DE LA LLAVE","CALLE","IGNACIO RAMÍREZ","AVENIDA","MORELOS",973,"","","","","","COLONIA","CENTRO","","","",35000,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","895",5,"8717144950","","","Fijo",25.55871759,-103.4951218,"jul-10","Servicios educativos","Servicios educativosT ","Escuelas de educación preescolar del sector privado "
"26285",611111,611,61,311872,"COLEGIO MONTESSORI SANTA CECILIA","PREESCOLAR SANTA CECILIA, S.C.",611111,"Escuelas de educación preescolar del sector privado","6 a 10 personas","AVENIDA","PASEO DE LA SOLEDAD","CALLE","PASEO DE LA LLUVIA","CALLE","CÓRDOBA","CALLE","CASTELLÓN",430,"","","","","","FRACCIONAMIENTO","AMPLIACION LA ROSITA","","","",27250,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","2772",9,"8711936775","","","Fijo",25.51734385,-103.3993721,"jul-10","Servicios educativos","Servicios educativosT ","Escuelas de educación preescolar del sector privado "
"26286",611111,611,61,294776,"JARDÍN DE NIÑOS JENRRY DUNAN","",611111,"Escuelas de educación preescolar del sector privado","11 a 30 personas","CALLE","PASEO CERRO DE LAS CALABAZAS","CALLE","SIERRA DEL SARNOSO","CALLE","SIERRA DE LAS NOAS","CALLE","PASEO CERRO DE LAS CALABAZAS",0,"SN","","","","","COLONIA","CIUDAD NAZAS","","","",27054,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","2310",20,"8717333604","","","Fijo",25.55632664,-103.3544261,"jul-10","Servicios educativos","Servicios educativosT ","Escuelas de educación preescolar del sector privado "
"26287",611111,611,61,1101565,"COLEGIO FRAY SERVANDO TERESA DE MIER","CENTRO EDUCATIVOFRAY SERVANDO, A.C.",611111,"Escuelas de educación preescolar del sector privado","0 a 5 personas","CALLE","TOPACIO","AVENIDA","DIAMANTE","CALLE","ESMERALDA","CALLE","ALEJANDRINA",636,"","","","","","COLONIA","LA ESPERANZA","","","",35020,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","698",20,"","","","Fijo",25.57413935,-103.509566,"dic-14","Servicios educativos","Servicios educativosT ","Escuelas de educación preescolar del sector privado "
"26288",611111,611,61,1101205,"KINDER MI CASTILLO","",611111,"Escuelas de educación preescolar del sector privado","0 a 5 personas","AVENIDA","DENÉBOLA","ANDADOR","HÉRCULES","AVENIDA","CENTENARIO","ANDADOR","HEMBRA",372,"","","","","","FRACCIONAMIENTO","MORELOS 11","","","",35026,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","1747",35,"8717234692","","","Fijo",25.57153548,-103.5169778,"dic-14","Servicios educativos","Servicios educativosT ","Escuelas de educación preescolar del sector privado "
"26289",611111,611,61,1065626,"COLEGIO VYGOTSKY","COLEGIO JARDÍN DE NIÑOS VYGOTSKY, S.C.",611111,"Escuelas de educación preescolar del sector privado","6 a 10 personas","AVENIDA","ALDAMA","CALLE","5 DE FEBRERO","CALLE","LEANDRO VALLE","CALLE","NINGUNO",1300,"","","","","","COLONIA","LOS ALAMOS","","","",35020,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","594",28,"8717154974","","","Fijo",25.57529363,-103.5073585,"jul-10","Servicios educativos","Servicios educativosT ","Escuelas de educación preescolar del sector privado "
"26290",611111,611,61,305634,"COLEGIO SAN JOSE","INSTITUTO CULTURAL Y EDUCATIVO DE LA LAGUNA, A.C.",611111,"Escuelas de educación preescolar del sector privado","11 a 30 personas","CALLE","RÍO MARNE","CALLE","RÍO AMAZONAS","CALLE","RÍO PAPALOAPÁN","CALLE","RÍO GUADALQUIVIR",699,"","","","","","COLONIA","NAVARRO","","","",27010,5,"COAHUILA DE ZARAGOZA",35,"Torreón",1,"Torreón","51",22,"8712040348","","","Fijo",25.56372791,-103.4261627,"jul-10","Servicios educativos","Servicios educativosT ","Escuelas de educación preescolar del sector privado "
"26291",611111,611,61,1066605,"JARDÍN DE NIÑOS MUNDO DE COLORES","SECRETARÍA DE EDUCACIÓN PÚBLICA 10PJNO136F",611111,"Escuelas de educación preescolar del sector privado","0 a 5 personas","PRIVADA","RODEO","PRIVADA","NINGUNO","PRIVADA","NINGUNO","PRIVADA","ISLAS MUJERES",424,"","","","","","FRACCIONAMIENTO","SANTA TERESA","","","",35049,10,"DURANGO",7,"Gómez Palacio",1,"Gómez Palacio","1997",24,"8717574924","","","Fijo",25.58750927,-103.4657747,"jul-10","Servicios educativos","Servicios educativosT ","Escuelas de educación preescolar del sector privado "
